flightID,airline,departureDate,returnDate
1256,Lufthansa,2024-11-18,2026-11-09
1257,El Al,2025-07-01,2025-07-04
1258,Turkish Airlines,2025-07-10,2026-01-19
1259,El Al,2024-02-19,2026-03-26
1260,Turkish Airlines,2025-10-04,2025-07-02
1261,Turkish Airlines,2025-11-06,2025-04-06
1262,Delta,2025-08-31,2026-09-09
1263,El Al,2024-09-21,2025-03-08
1264,Delta,2024-12-19,2025-09-27
1265,Delta,2025-04-30,2025-08-13
1266,Lufthansa,2024-11-02,2026-11-19
1267,Turkish Airlines,2025-01-06,2025-11-03
1268,El Al,2025-02-19,2026-11-30
1269,El Al,2025-06-19,2026-07-11
1270,Delta,2024-01-18,2025-08-02
1271,Turkish Airlines,2024-01-08,2025-06-12
1272,El Al,2025-09-24,2025-11-27
1273,Turkish Airlines,2025-04-08,2026-09-06
1274,El Al,2024-01-16,2026-05-03
1275,Turkish Airlines,2025-02-11,2025-03-16
1276,El Al,2025-05-22,2026-09-01
1277,Delta,2025-02-05,2026-11-18
1278,Delta,2025-08-27,2026-07-19
1279,Delta,2024-02-26,2025-08-02
1280,Turkish Airlines,2024-04-13,2026-11-13
1281,El Al,2025-03-27,2025-06-16
1282,Delta,2024-10-12,2026-04-19
1283,Lufthansa,2024-11-12,2025-06-11
1284,Delta,2025-06-02,2026-06-23
1285,Lufthansa,2024-05-10,2026-09-11
1286,El Al,2024-02-24,2026-12-15
1287,Turkish Airlines,2025-06-12,2026-02-12
1288,Delta,2024-05-29,2025-07-13
1289,Lufthansa,2025-04-10,2026-10-01
1290,Lufthansa,2025-02-22,2025-01-10
1291,Lufthansa,2025-04-10,2025-11-22
1292,El Al,2024-05-11,2026-05-29
1293,Turkish Airlines,2025-02-01,2025-02-18
1294,Delta,2025-07-06,2025-11-07
1295,Delta,2025-08-15,2026-04-20
1296,Delta,2024-05-16,2026-09-02
1297,Delta,2024-01-28,2026-04-07
1298,Delta,2024-02-05,2026-11-04
1299,El Al,2025-04-05,2026-03-04
1300,Delta,2024-01-02,2025-08-16
1301,Delta,2025-02-09,2025-09-19
1302,Turkish Airlines,2025-03-27,2026-09-25
1303,Lufthansa,2024-07-11,2026-10-22
1304,Lufthansa,2024-02-29,2025-10-03
1305,Turkish Airlines,2025-06-13,2025-06-07
1306,Turkish Airlines,2025-04-05,2026-04-03
1307,Turkish Airlines,2024-08-20,2025-03-03
1308,Delta,2024-12-25,2025-05-20
1309,Lufthansa,2025-10-24,2025-03-24
1310,Delta,2024-10-25,2025-05-14
1311,Lufthansa,2024-04-08,2025-01-05
1312,Turkish Airlines,2024-08-27,2025-01-02
1313,Turkish Airlines,2025-07-08,2025-01-31
1314,El Al,2024-02-22,2026-03-17
1315,Delta,2025-07-06,2025-02-26
1316,El Al,2025-12-09,2026-08-01
1317,Lufthansa,2024-02-16,2025-10-06
1318,Lufthansa,2024-07-26,2026-06-09
1319,El Al,2024-05-31,2025-09-21
1320,El Al,2024-09-02,2026-04-03
1321,Lufthansa,2025-04-03,2026-08-30
1322,Turkish Airlines,2024-04-15,2025-08-09
1323,Lufthansa,2024-07-20,2025-03-16
1324,Lufthansa,2025-11-02,2025-10-14
1325,Delta,2024-02-05,2026-06-20
1326,El Al,2025-12-30,2026-09-11
1327,Lufthansa,2025-08-21,2025-01-30
1328,El Al,2024-06-13,2026-07-12
1329,El Al,2025-02-07,2026-10-11
1330,El Al,2024-10-04,2025-09-06
1331,Turkish Airlines,2024-09-24,2025-11-19
1332,Lufthansa,2025-09-15,2025-08-25
1333,Turkish Airlines,2025-07-24,2025-10-25
1334,Delta,2024-12-10,2026-03-21
1335,El Al,2024-05-09,2025-09-27
1336,Delta,2025-05-25,2026-08-09
1337,Lufthansa,2024-02-15,2026-10-05
1338,Delta,2024-02-14,2025-11-13
1339,Delta,2025-10-02,2025-02-27
1340,El Al,2025-08-18,2025-05-07
1341,El Al,2025-12-08,2025-09-27
1342,Delta,2024-10-17,2026-12-12
1343,El Al,2025-10-03,2025-06-25
1344,Delta,2024-06-24,2026-01-15
1345,El Al,2025-08-15,2025-01-04
1346,Lufthansa,2024-02-25,2026-12-23
1347,El Al,2024-05-22,2025-10-21
1348,El Al,2024-04-12,2026-08-23
1349,Turkish Airlines,2024-03-04,2026-12-18
1350,Delta,2024-08-10,2026-09-29
1351,Delta,2025-02-20,2025-10-01
1352,Lufthansa,2024-09-10,2026-06-26
1353,El Al,2024-02-10,2025-04-04
1354,Delta,2024-11-12,2026-04-30
1355,El Al,2024-10-11,2025-05-31
1356,El Al,2025-11-06,2026-04-11
1357,Lufthansa,2025-12-15,2026-06-15
1358,Delta,2025-12-01,2025-03-11
1359,Turkish Airlines,2025-06-13,2025-10-09
1360,Delta,2024-06-18,2026-04-02
1361,Turkish Airlines,2025-07-05,2025-10-15
1362,Turkish Airlines,2024-04-04,2025-05-18
1363,Delta,2024-02-17,2026-11-17
1364,El Al,2025-09-05,2025-04-01
1365,Delta,2025-02-21,2026-09-05
1366,El Al,2025-09-19,2025-02-22
1367,Delta,2024-11-13,2025-01-16
1368,Lufthansa,2024-08-11,2026-01-31
1369,Delta,2025-06-14,2025-01-01
1370,Turkish Airlines,2024-08-23,2026-03-02
1371,Turkish Airlines,2024-11-05,2025-11-01
1372,Delta,2025-09-02,2025-06-01
1373,Turkish Airlines,2024-09-25,2025-10-22
1374,Delta,2024-05-01,2026-09-27
1375,El Al,2025-08-04,2026-06-02
1376,Delta,2025-11-04,2026-11-22
1377,Lufthansa,2025-09-25,2025-08-03
1378,Lufthansa,2024-11-09,2026-11-10
1379,El Al,2025-06-18,2025-01-18
1380,Delta,2024-09-29,2025-05-28
1381,Turkish Airlines,2024-03-25,2025-09-07
1382,Lufthansa,2024-08-23,2026-02-21
1383,Turkish Airlines,2025-05-09,2025-09-26
1384,Delta,2024-03-24,2025-09-19
1385,Lufthansa,2024-11-06,2026-08-04
1386,Delta,2025-03-05,2025-05-24
1387,Turkish Airlines,2024-12-14,2026-07-20
1388,Turkish Airlines,2024-03-21,2026-01-15
1389,El Al,2024-03-24,2025-04-15
1390,Delta,2025-01-11,2025-09-17
1391,Turkish Airlines,2025-06-06,2026-06-26
1392,Delta,2024-11-07,2025-07-04
1393,Turkish Airlines,2024-02-08,2025-03-06
1394,El Al,2025-04-02,2025-05-14
1395,Lufthansa,2025-12-02,2026-06-19
1396,Lufthansa,2024-06-13,2026-10-12
1397,Turkish Airlines,2025-03-20,2026-03-24
1398,Turkish Airlines,2024-02-21,2026-06-15
1399,Delta,2025-10-10,2025-06-22
