zipCode,country
THU,Doha
JPN,Rome
TBY,São Paulo
TVU,Paris
JCH,Toronto
TUM,Frankfurt
SSF,Los Angeles
CUB,Bangkok
SAK,Dubai
XNT,Tokyo
KRW,Madrid
SSU,Rome
MWP,Hong Kong
KSK,Bangkok
PZB,Bogotá
MPH,Copenhagen
AIH,Copenhagen
TFI,Dubai
CGI,Los Angeles
UCT,London
AAY,Hong Kong
OUH,Toronto
HTL,Frankfurt
WGP,Singapore
RVN,Doha
KEG,Madrid
RJB,Paris
PPJ,Johannesburg
PEW,Bogotá
NUF,Los Angeles
DSG,New York
ODB,Tokyo
GPN,São Paulo
HMO,London
TEU,London
HJT,Singapore
CSE,Delhi
DAA,Bangkok
LNB,Tokyo
EGC,Johannesburg
OSO,Rome
KNI,Mexico City
SFT,Addis Ababa
KBD,Toronto
VEL,Rome
TLM,Bogotá
CCA,Copenhagen
NRA,Doha
HVB,New York
AJF,Tokyo
PPV,Dubai
DAP,São Paulo
VSG,Bogotá
MXF,Sydney
GLI,Auckland
TAI,Paris
OBC,Paris
ZMH,Addis Ababa
URU,Frankfurt
IRA,Los Angeles
DVP,São Paulo
RDU,Sydney
NTA,Singapore
NNU,New York
LAO,Johannesburg
INO,Auckland
CAV,Madrid
AHS,Tokyo
RAN,Bangkok
MKN,Auckland
KIR,Paris
ZLG,Singapore
RDZ,Mexico City
MCU,Auckland
WST,Copenhagen
KBX,Singapore
HTY,Seoul
BEW,London
REH,Madrid
DRH,Amsterdam
QIG,Rome
MFV,Tokyo
UTM,Amsterdam
GDD,Bangkok
TXU,Addis Ababa
GHN,Copenhagen
RME,Johannesburg
TAV,Bogotá
SNS,Hong Kong
SKZ,Bangkok
CIP,Tokyo
MQK,Bangkok
AKW,Seoul
LVO,São Paulo
AQY,Delhi
BCK,Doha
MXT,Madrid
UNT,Bangkok
KMF,Paris
CNX,Dubai
PAN,Auckland
SAW,Singapore
RKW,São Paulo
BHE,Amsterdam
KZB,Los Angeles
CIU,Paris
IFN,Dubai
TGA,Mexico City
TCS,New York
BPG,Doha
BHE,Johannesburg
OSS,Bangkok
DYR,Addis Ababa
TPF,Bangkok
PPM,Doha
KIX,Copenhagen
MTU,New York
BLI,Amsterdam
ABF,Paris
GVL,Copenhagen
NBH,Johannesburg
JNU,Copenhagen
NKM,Sydney
KYZ,Bogotá
MQF,Sydney
OUG,Bangkok
IFA,Frankfurt
NCR,Bangkok
GCM,Frankfurt
HAD,Seoul
HPY,Dubai
PIT,Mexico City
BPE,Auckland
CPQ,São Paulo
BEO,Sydney
YOL,Doha
ILU,Los Angeles
THE,Bogotá
YUA,Johannesburg
NAV,New York
GPB,Johannesburg
RIA,Copenhagen
APP,Tokyo
LII,Madrid
LRJ,Frankfurt
FMA,São Paulo
HYN,Tokyo
SBF,Delhi
OSM,Singapore
ANN,Dubai
PVI,Seoul
OIA,Singapore
KDS,Paris
DHI,London
MIS,Toronto
KOJ,Auckland
RCM,Tokyo
NLE,Singapore
CTS,Madrid
CFQ,Bangkok
YWQ,Bogotá
GBT,Amsterdam
TPR,New York
BSB,Bogotá
GOB,Addis Ababa
TDT,Hong Kong
NKT,Delhi
BNI,Mexico City
MGS,New York
BJX,Singapore
SYH,Sydney
VJI,Doha
MGN,Rome
OKC,Los Angeles
DBQ,Copenhagen
LBM,Tokyo
OAH,Amsterdam
TCH,São Paulo
PWY,Tokyo
HJR,Dubai
MMD,Frankfurt
TOQ,London
NUU,Amsterdam
YYI,Los Angeles
KTP,Copenhagen
HES,Los Angeles
OTM,Los Angeles
KTV,Amsterdam
LLB,Copenhagen
KMI,New York
MHS,Sydney
TIM,Bogotá
YGB,Bangkok
CWS,Madrid
PBN,Dubai
NDS,Los Angeles
GRL,New York
TSL,Hong Kong
KJA,Doha
WMB,Frankfurt
YYA,Johannesburg
PEX,Auckland
TNB,Sydney
MUJ,Hong Kong
DOS,Rome
HGE,Madrid
WAQ,Seoul
MMX,Los Angeles
THU,Los Angeles
EVH,Copenhagen
RIV,London
AUL,Los Angeles
NYN,New York
VIL,Bangkok
TRL,Frankfurt
CBB,New York
MTA,Madrid
SZH,Johannesburg
EMG,London
AKH,Toronto
YUB,Amsterdam
HLG,New York
EMO,Bangkok
KZI,Toronto
BTJ,Sydney
MKZ,Amsterdam
KCM,Auckland
SUV,Rome
BKF,Delhi
HEO,Sydney
EGC,Doha
MPU,Amsterdam
ILA,Singapore
ZXT,New York
BUY,Frankfurt
GLL,Rome
PTV,São Paulo
CTM,Sydney
CMN,Mexico City
ITP,London
DAN,Los Angeles
MCX,Delhi
TBL,Madrid
EKS,Sydney
MIK,Madrid
IMA,London
MAN,Los Angeles
SJM,New York
NAG,Johannesburg
TJC,Addis Ababa
CZO,Seoul
CDG,São Paulo
WUV,Los Angeles
BDV,Los Angeles
DYR,Tokyo
VXE,New York
MCL,Johannesburg
MUP,Bangkok
SDS,Amsterdam
WTK,Singapore
AJY,London
SZR,Delhi
VAD,Madrid
CGR,Bangkok
GOE,Bogotá
FLR,Amsterdam
EZV,Rome
GGS,Doha
SKX,New York
PNI,Copenhagen
MDC,Sydney
DLD,Bogotá
FNU,Mexico City
YKU,Copenhagen
SFF,New York
AST,Madrid
DAM,Dubai
SHJ,Copenhagen
RNI,Copenhagen
CKE,New York
OME,Los Angeles
IBZ,Seoul
HGT,São Paulo
AUY,Los Angeles
CPV,Los Angeles
YGW,Copenhagen
POX,Copenhagen
BIH,Los Angeles
BVG,Frankfurt
BOF,Los Angeles
NEV,New York
SUN,São Paulo
KCT,São Paulo
BMM,Delhi
LAA,Delhi
MNI,Paris
MMD,Los Angeles
SRU,Johannesburg
KKW,Dubai
PAJ,Paris
DOY,Doha
YBB,Madrid
JCB,Rome
OCE,Auckland
CGJ,Addis Ababa
MFK,Delhi
MIR,São Paulo
LRD,Tokyo
BKD,Mexico City
0,Tokyo
UOX,Sydney
ALM,London
YVB,Mexico City
CZS,Seoul
DTB,Los Angeles
FPY,Seoul
DOU,Copenhagen
PPJ,Madrid
GIS,Delhi
OTD,Los Angeles
FUJ,Hong Kong
SGR,Seoul
STL,Mexico City
RCS,Hong Kong
HFD,Bangkok
WME,Toronto
OGS,Frankfurt
YAD,São Paulo
TTJ,Dubai
MCL,Frankfurt
MPC,New York
FIL,Auckland
MSA,Los Angeles
IQT,New York
RSU,Doha
LKZ,Delhi
KRO,Johannesburg
SLY,Seoul
KKT,Madrid
NTE,Copenhagen
YJN,New York
MVS,Auckland
BCM,Hong Kong
CPF,New York
LML,Copenhagen
SOK,Los Angeles
FHU,Dubai
VBA,Bangkok
HYD,New York
OML,Delhi
OOR,Singapore
0,Amsterdam
IRO,Addis Ababa
HTY,Los Angeles
ILA,Bogotá
AVX,Bangkok
LNN,New York
YRO,Amsterdam
PGA,Bangkok
YFG,Sydney
VIB,Los Angeles
HOI,Dubai
WHT,Rome
LIG,Los Angeles
AGR,Delhi
CUL,New York
PSI,Frankfurt
RBP,Doha
MOG,Mexico City
DTD,Amsterdam
MVA,Mexico City
VIH,New York
NNU,Tokyo
YVQ,Seoul
GCY,Doha
XBX,Madrid
LNN,Los Angeles
UTD,Bangkok
REZ,Doha
NYW,Los Angeles
YRB,São Paulo
CSV,Madrid
MCR,São Paulo
ABN,Seoul
PUF,Singapore
PPG,Delhi
WPC,London
CWS,Johannesburg
LZC,Los Angeles
TNF,Singapore
CYD,Tokyo
CZB,Copenhagen
ELM,Madrid
MEA,Madrid
SJU,Addis Ababa
VAK,Bangkok
SWH,Sydney
YCU,Madrid
BKY,São Paulo
SMZ,Hong Kong
PRO,New York
ZFD,Toronto
SZF,Delhi
RSE,Hong Kong
WMR,Singapore
TUH,Bogotá
YQL,Toronto
JSJ,Copenhagen
HRE,Bogotá
GRB,São Paulo
BEW,Bangkok
LYK,Toronto
TCR,Bogotá
LND,Bangkok
ILZ,Paris
0,Mexico City
TVC,Sydney
MDE,Bangkok
MHD,Copenhagen
KST,Paris
XBE,Addis Ababa
MNU,Madrid
IPH,London
OMR,Rome
HOD,Singapore
DSN,Auckland
BNO,Paris
VBG,Frankfurt
TYA,Auckland
SIM,Delhi
FRW,Dubai
LRT,Doha
URD,Toronto
BWA,Bangkok
GBG,London
SEH,Los Angeles
CWX,Doha
BEX,Paris
TTL,Singapore
SAU,Los Angeles
CZK,Johannesburg
CDO,Doha
TBJ,Tokyo
DJA,Copenhagen
ENW,Seoul
CRV,Bogotá
OKS,Dubai
MTC,Toronto
WPA,Hong Kong
BKJ,Los Angeles
FRG,Madrid
PMX,Bangkok
HXD,Copenhagen
QJP,Amsterdam
TKY,Los Angeles
AKS,Sydney
FIK,New York
SRZ,Copenhagen
RBT,Auckland
BBP,Los Angeles
GAL,Sydney
YLJ,Delhi
TYS,Doha
WPA,Dubai
KRB,Dubai
WSD,Bogotá
HNC,Copenhagen
WUV,Rome
TGK,Los Angeles
GTY,São Paulo
MKL,Delhi
NLL,New York
TTO,Auckland
YAH,Los Angeles
SHW,Los Angeles
MMB,Dubai
AVP,Los Angeles
TMN,Delhi
OPB,London
AEL,Mexico City
NLC,Mexico City
LWT,Copenhagen
SGH,Hong Kong
YCF,Addis Ababa
YCU,São Paulo
PZS,Seoul
VCT,São Paulo
TMI,Los Angeles
HAV,Frankfurt
FBA,Tokyo
MAI,Los Angeles
MYD,Addis Ababa
BKU,Seoul
MUH,São Paulo
GUY,Bogotá
WPB,Doha
JNN,Los Angeles
GGC,Mexico City
BGX,Singapore
CSQ,Bangkok
NKB,Los Angeles
GKH,Mexico City
CAU,Los Angeles
SYW,New York
GGS,Singapore
GBF,Los Angeles
DGA,Tokyo
YQU,Delhi
ENC,Los Angeles
AYE,Singapore
MYE,Copenhagen
PBV,Amsterdam
SWJ,Copenhagen
UTB,London
JGA,Tokyo
OGO,New York
CXJ,Madrid
CMG,New York
EGX,Los Angeles
CBD,Rome
MJY,Los Angeles
BUQ,Toronto
STI,São Paulo
HUE,Sydney
GBE,Copenhagen
KFG,Los Angeles
NFO,Seoul
KNW,London
UVO,Singapore
NCN,Delhi
SER,Auckland
TCE,Singapore
LRD,Singapore
JXN,Bangkok
LAK,São Paulo
LBC,Copenhagen
EGP,London
SXS,Frankfurt
IRN,Dubai
KRR,Addis Ababa
FFL,Delhi
TR7,Madrid
HAE,Dubai
AHB,London
KAF,New York
WCA,New York
CRO,Los Angeles
LLM,Addis Ababa
GRB,Bangkok
BVO,Madrid
HOS,Addis Ababa
KYU,Seoul
LRD,Copenhagen
LED,Delhi
TCP,New York
CYS,London
PAL,Seoul
LEB,Madrid
ROF,Doha
WDI,São Paulo
NTT,London
AOJ,Madrid
JIM,Frankfurt
BBQ,Johannesburg
KBZ,Mexico City
NRT,Frankfurt
CMM,Dubai
MDT,Mexico City
YKG,Copenhagen
DOH,New York
UTD,Johannesburg
SUF,Addis Ababa
BEX,New York
NKC,Auckland
CBV,New York
KUA,Rome
TEK,Paris
CGP,Sydney
PMF,Rome
NFG,Seoul
BOJ,Delhi
BAP,Auckland
BGZ,Tokyo
SYM,Singapore
KLV,Frankfurt
ERG,Auckland
YMU,Toronto
EBO,Copenhagen
MTS,Rome
PZL,Addis Ababa
BRS,Doha
TMP,New York
GMN,New York
NSL,Sydney
YJA,Amsterdam
ULI,Johannesburg
EMX,Madrid
PSI,Doha
BJC,Dubai
JOS,Seoul
KDM,Los Angeles
APL,São Paulo
AMA,Delhi
VIV,Sydney
HMN,Doha
RNU,Seoul
BMN,Los Angeles
EUA,Toronto
EOH,Dubai
APN,Johannesburg
RGA,London
URE,Hong Kong
ILU,New York
LWA,Madrid
PEF,Delhi
LNM,Mexico City
IXT,Johannesburg
TTE,Hong Kong
NEV,Paris
FLZ,Copenhagen
KMF,Sydney
TSJ,Copenhagen
GLK,São Paulo
YOA,London
LUZ,Seoul
NAZ,São Paulo
NKX,Madrid
EGC,Los Angeles
SLI,Addis Ababa
ESF,Mexico City
AMA,Sydney
BDT,Tokyo
SOK,New York
PCM,Paris
LRQ,Doha
NDG,Hong Kong
SSY,Johannesburg
KRC,São Paulo
AHY,London
GOO,Dubai
JHM,Delhi
ESA,Seoul
CIF,Hong Kong
